,title,address,price,price_m2,area_m2,rooms,floor,outdoors,parking,market,build_yr,building_type,elevator,heating_type
48,Stylowy apartament | Blisko plaża miejska | Morze,"Gdynia, Śródmieście, Kazimierza Pułaskiego",1 599 000 zł,16 656 zł/m²,96,5,"Piętro
parter/3",ogródek,zapytaj,wtórny,1950,kamienica,nie,gazowe
49,Apartament o unikatowym wykończeniu w Orłowie,"Gdynia, Orłowo, Bernadowska",1 545 000 zł,27 540 zł/m²,"56,1",2,"Piętro
parter/2","ogródek, taras",garaż/miejsce parkingowe,wtórny,2021,apartamentowiec,tak,miejskie
50,"Awanport Apartament 3 pokoje, Widok na Morze","Gdynia, Śródmieście, Stefana Żeromskiego",1 400 000 zł,14 840 zł/m²,"94,34",3,"Piętro
4/5",zapytaj,garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,miejskie
51,Mieszkanie - Gdynia Działki Leśne,"Gdynia, Działki Leśne, Wolności",1 399 000 zł,17 208 zł/m²,"81,3",3,"Piętro
1/2",balkon,garaż/miejsce parkingowe,pierwotny,2021,apartamentowiec,tak,zapytaj
52,Trzypokojowy apartament Gdynia Orłowo,"Gdynia, Orłowo, Wrocławska",1 330 931 zł,13 300 zł/m²,"100,07",3,"Piętro
2/3",balkon,garaż/miejsce parkingowe,pierwotny,2021,apartamentowiec,tak,zapytaj
53,Apartament z ogrodem- Nowe Orłowo,"Gdynia, Orłowo, Józefa Kiedronia",1 290 000 zł,33 947 zł/m²,38,1,"Piętro
parter/2","ogródek, taras",garaż/miejsce parkingowe,wtórny,2017,apartamentowiec,tak,miejskie
54,Rodzinne 3 pokoje w Gdyni Redłowo,"Gdynia, Redłowo",1 130 000 zł,14 675 zł/m²,77,3,"Piętro
1/4",balkon,garaż/miejsce parkingowe,wtórny,1995,blok,nie,miejskie
55,Apartament 3 pokoje z widokiem na las Mały Kack,"Gdynia, Mały Kack, Strzelców",990 000 zł,14 350 zł/m²,"68,99",3,"Piętro
4/6",balkon,garaż/miejsce parkingowe,wtórny,2013,apartamentowiec,tak,miejskie
56,Słoneczny apartament z widokiem na polanę i las,"Gdynia, Mały Kack, Strzelców",990 000 zł,14 776 zł/m²,67,3,"Piętro
5/6","balkon, taras",garaż/miejsce parkingowe,wtórny,2012,apartamentowiec,tak,miejskie
57,Mieszkanie z balkonem i miejscem parkingowym,"Gdynia, Chwarzno-Wiczlino, Czesława Niemena",879 000 zł,12 926 zł/m²,68,3,"Piętro
1/4",balkon,garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,miejskie
58,Mieszkanie 3 pokoje z balkonem i parkingiem,"Gdynia, Chwarzno-Wiczlino, Czesława Niemena",869 000 zł,13 794 zł/m²,63,3,"Piętro
1/4",balkon,garaż/miejsce parkingowe,wtórny,2021,apartamentowiec,tak,miejskie
59,Mieszkanie 4 pokojowe z tarasem blisko centrum,"Gdynia, Witomino, Małokacka",735 000 zł,11 099 zł/m²,"66,22",4,"Piętro
1/3","balkon, taras",garaż/miejsce parkingowe,pierwotny,2021,apartamentowiec,tak,gazowe
60,Funkcjonalne 3 pokoje | 15 minut od centrum Gdyni,"Gdynia, Chwarzno-Wiczlino, gen. Mariusza Zaruskiego",724 900 zł,10 983 zł/m²,66,3,"Piętro
parter/3",balkon,garaż/miejsce parkingowe,wtórny,2011,blok,nie,miejskie
61,Dni Otwarte 18.06,"Gdynia, Cisowa, Zbożowa",608 000 zł,9 806 zł/m²,62,4,"Piętro
> 10/11",zapytaj,zapytaj,wtórny,brak,blok,tak,miejskie
62,Możliwe 4 pokoje z tarasem tuż przy lesie!,"Gdynia, Chwarzno-Wiczlino, Chwarzno, Chwarznieńska",650 000 zł,9 441 zł/m²,"68,85",3,"Piętro
3/3",zapytaj,garaż/miejsce parkingowe,wtórny,2021,apartamentowiec,tak,miejskie
63,Atrakcyjne Trzypokojowe Mieszkanie,"Gdynia, Obłuże, płk. Stanisława Dąbka",499 000 zł,9 415 zł/m²,53,3,"Piętro
3/4",zapytaj,zapytaj,wtórny,brak,blok,nie,miejskie
64,"NOWE - 400m do Morza, Idealne na Wakacje!","Gdynia, Oksywie",480 122 zł,8 002 zł/m²,60,3,"Piętro
2/3",balkon,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
65,Kawalerka w centrum Gdyni,"Gdynia, Śródmieście, Świętojańska",525 000 zł,15 813 zł/m²,"33,2",2,"Piętro
3/4",zapytaj,zapytaj,wtórny,1950,kamienica,nie,miejskie
66,3 Pokoje | Obłuże| Ul. Maciejewicza Piękny Widok,"Gdynia, Obłuże, ul. Konstantego Maciejewicza",450 000 zł,6 522 zł/m²,69,3,"Piętro
4/4",balkon,zapytaj,wtórny,brak,blok,nie,miejskie
67,Duże mieszkanie na ul. Świętojańskiej,"Gdynia, Śródmieście, Świętojańska",1 195 000 zł,11 849 zł/m²,"100,85",4,"Piętro
1/4",zapytaj,zapytaj,wtórny,1936,kamienica,nie,miejskie
68,"Jasna kawalerka 29,6 m2 w Gdyni-Cisowa","Gdynia, Cisowa, Kcyńska",305 000 zł,10 297 zł/m²,"29,62",1,"Piętro
parter/4",zapytaj,zapytaj,wtórny,1970,blok,nie,miejskie
69,"Dwupokojowe słoneczne mieszkanie, blisko centrum!!","Gdynia, Grabówek",339 000 zł,7 213 zł/m²,47,2,"Piętro
4/4",zapytaj,zapytaj,wtórny,1936,kamienica,nie,gazowe
70,"Dwupokojowe mieszkanie, blisko Skm, okazja!!!","Gdynia, Chylonia",250 000 zł,9 259 zł/m²,27,2,"Piętro
2/4",balkon,zapytaj,wtórny,1975,blok,nie,miejskie
71,"Trzy pokoje w Centrum, winda, blisko plaża i Skm!!","Gdynia, Działki Leśne",729 000 zł,10 610 zł/m²,"68,71",3,"Piętro
3/5",zapytaj,zapytaj,wtórny,1933,kamienica,tak,miejskie
72,"Dwupokojowe mieszkanie z balkonem, blisko Centrum!","Gdynia, Witomino",368 000 zł,8 976 zł/m²,41,2,"Piętro
parter/10",balkon,zapytaj,wtórny,1970,blok,tak,miejskie
73,"Apartament Kępa Redłowska, z siłownią oraz sauną!!","Gdynia, Redłowo",799 000 zł,18 159 zł/m²,44,2,"Piętro
2/2",balkon,garaż/miejsce parkingowe,wtórny,2010,apartamentowiec,tak,miejskie
74,Gdynia Działki Leśne - mieszkanie 3 pokokojowe,"Gdynia, Działki Leśne, Witomińska",479 000 zł,10 346 zł/m²,"46,3",3,"Piętro
4/10",balkon,zapytaj,wtórny,1963,blok,tak,miejskie
75,Mieszkanie po generalnym remoncie pod aranżację,"Gdynia, Chylonia, Chylońska",409 000 zł,8 702 zł/m²,47,2,"Piętro
parter/4",balkon,zapytaj,wtórny,1974,blok,nie,miejskie
76,Stylowe mieszkanie zaledwie kilometr od morza!,"Gdynia, Śródmieście, Władysława IV",710 000 zł,20 882 zł/m²,34,2,"Piętro
2/6",balkon,garaż/miejsce parkingowe,wtórny,2022,apartamentowiec,tak,miejskie
77,Pierwsza Linia Od Morza | H. Garażowa | Przy Lesie,"Gdynia, Wzgórze Św. Maksymiliana, Stanisława Wyspiańskiego",2 300 000 zł,25 000 zł/m²,92,3,"Piętro
3/4",balkon,zapytaj,wtórny,2008,apartamentowiec,tak,elektryczne
78,Piękny Widok | Stan Dewelopersk| Fitnes | Parking,"Gdynia, Wzgórze Św. Maksymiliana, Kazimierza Górskiego",545 000 zł,11 779 zł/m²,"46,27",2,"Piętro
> 10/16",balkon,garaż/miejsce parkingowe,wtórny,2021,blok,tak,miejskie
79,"Piękne mieszkanie dwupoziomowe, słoneczne, kominek","Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, ul. Chabrowa",950 000 zł,10 106 zł/m²,94,4,"Piętro
3/3",balkon,garaż/miejsce parkingowe,wtórny,1994,kamienica,nie,miejskie
80,Mieszkanie 3 pokojowe wśród zieleni,"Gdynia, Pogórze, Wiceadmirała Kazimierza Porębskiego",434 000 zł,7 232 zł/m²,"60,01",3,"Piętro
3/4",zapytaj,zapytaj,wtórny,1986,brak,nie,miejskie
81,Duże mieszkanie w centrum Gdyni.,"Gdynia, Śródmieście, Podjazd",699 999 zł,11 111 zł/m²,63,2,"Piętro
parter/4",zapytaj,garaż/miejsce parkingowe,wtórny,1938,kamienica,nie,miejskie
82,Piękne dwupokojowe mieszkanie! Gdynia! Okazja!,"Gdynia, Grabówek",389 000 zł,8 932 zł/m²,"43,55",2,"Piętro
3/4",balkon,zapytaj,wtórny,1960,apartamentowiec,nie,miejskie
83,"Wyremontowane trzy pokoje, z ogrodem, blisko Skm!!","Gdynia, Chylonia",476 000 zł,8 981 zł/m²,53,3,"Piętro
parter/2",zapytaj,zapytaj,wtórny,1939,kamienica,nie,gazowe
84,Piękne mieszkanie w spokojnej dzielnicy z garażem!,"Gdynia, Mały Kack",649 000 zł,10 364 zł/m²,"62,62",2,"Piętro
parter",balkon,garaż/miejsce parkingowe,wtórny,2000,dom,nie,gazowe
85,Piękne 3 pokoje po remoncie! Świetna lokalizacja!,"Gdynia, Chylonia",485 000 zł,8 661 zł/m²,56,3,"Piętro
9/10",balkon,zapytaj,wtórny,1980,blok,tak,miejskie
86,Okazja! Wysoki Parter! Balkon! Szybkie Wydanie!,"Gdynia, Chylonia",375 000 zł,8 978 zł/m²,"41,77",2,"Piętro
parter/4",balkon,zapytaj,wtórny,1980,blok,nie,miejskie
87,4-pokoje sprzedam,"Gdynia, Chwarzno-Wiczlino, ul. Romana Felińskiego 7",720 000 zł,8 372 zł/m²,86,4,"Piętro
3/3",taras,garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,miejskie
